路線,区間,本数,駅,状態
相鉄新横浜線,相鉄新横浜線(羽沢横浜国大〜新横浜),102,羽沢横浜国大 新横浜,auto_v2
京成押上線,京成押上線(押上〜京成曳舟),255,押上 京成曳舟,auto_v2
京成押上線,京成押上線(京成曳舟〜青砥),170,京成曳舟 八広 四ツ木 京成立石 青砥,auto_v2
京成金町線,,89,,auto_v1
ゆりかもめ,,237,,auto_v1
りんかい線,,144,,auto_v1
東京モノレール羽田線,,130,,auto_fail
多摩都市モノレール線,,110,,auto_fail
埼玉高速鉄道線,,149,,auto_v1
ニューシャトル,,90,,auto_fail
日暮里・舎人ライナー,,259,,auto_v1
みなとみらい21線,みなとみらい21線(元町・中華街〜日本大通り),298,元町・中華街 日本大通り,auto_review
みなとみらい21線,みなとみらい21線(日本大通り〜みなとみらい),266,日本大通り 馬車道 みなとみらい,auto_review
みなとみらい21線,みなとみらい21線(みなとみらい〜新高島),297,みなとみらい 新高島,auto_review
みなとみらい21線,みなとみらい21線(新高島〜横浜),160,新高島 横浜,auto_review
江ノ島電鉄,,55,,auto_fail
湘南モノレール,,140,,auto_v1
箱根登山鉄道,,40,,auto_fail
箱根登山ケーブルカー,,30,,auto_v1
御岳登山ケーブルカー,,20,,auto_fail
高尾登山ケーブルカー,,20,,auto_fail
大山ケーブルカー,,24,,auto_v1
伊豆箱根大雄山線,,60,,auto_fail
秩父本線,,35,,auto_fail
金沢シーサイドライン,,90,,auto_fail
京浜東北線,,240,,auto_fail
宇都宮線,,90,,auto_fail
湘南新宿ライン,,80,赤羽 十条 板橋 池袋,auto_fail
中央線快速,,230,,auto_fail
中央本線,中央本線(高尾〜甲府),70,上野原 四方津 梁川 鳥沢 猿橋 大月 初狩 笹子 甲斐大和 勝沼ぶどう郷 塩山 東山梨 山梨市 春日居町 石和温泉 酒折 甲府,manual
中央本線,中央本線(甲府〜塩尻),61,甲府 竜王 塩崎 韮崎 新府 穴山 日野春 長坂 小淵沢 信濃境 富士見 すずらんの里 青柳 茅野 上諏訪 下諏訪 岡谷 川岸 辰野 みどり湖 信濃川島 小野 塩尻,manual
相鉄・JR直通線,,30,,auto_fail
中央・総武線各駅停車,中央・総武線各駅停車(錦糸町〜西船橋),231,錦糸町 亀戸 平井 新小岩 小岩 市川 本八幡 下総中山 西船橋,manual
中央・総武線各駅停車,中央・総武線各駅停車(西船橋〜津田沼),225,船橋 東船橋 津田沼,manual
中央・総武線各駅停車,中央・総武線各駅停車(津田沼〜千葉),140,幕張本郷 幕張 新検見川 稲毛 西千葉 千葉,manual
わたらせ渓谷線,わたらせ渓谷線(間藤〜大間々),10,間藤 足尾 通洞 原向 沢入 神戸 小中 中野 花輪 水沼 本宿 上神梅 大間々,auto_v2
わたらせ渓谷線,わたらせ渓谷線(大間々〜桐生),18,大間々 運動公園 相老 下新田 桐生,auto_v2
上信線,,31,,auto_v1
上毛線,,37,,auto_v1
上越線,,19,,auto_fail
両毛線,両毛線(小山〜伊勢崎),29,小山 思川 栃木 大平下 岩舟 佐野 富田 あしかがフラワーパーク 足利 山前 小俣 桐生 岩宿 国定 伊勢崎,auto_v2
両毛線,両毛線(伊勢崎〜前橋大島),41,伊勢崎 駒形 前橋大島,auto_v2
両毛線,両毛線(前橋大島〜新前橋),54,前橋大島 前橋 新前橋,auto_v2
会津鬼怒川線,,8,,auto_v1
信越線,信越線(高崎〜横川),23,磯部 松井田 西松井田 高崎 安中 横川 群馬八幡 北高崎,manual
信越線,信越線(篠ノ井〜長野),73,篠ノ井 今井 川中島 安茂里 長野,manual
信越線,信越線(直江津〜新津),28,直江津 黒井 犀潟 土底浜 潟町 上下浜 柿崎 米山 笠島 北条 安田 青海川 塚山 鯨波 茨目 越後広田 柏崎 長鳥 越後岩塚 来迎寺 前川 宮内 長岡 北長岡 押切 見附 帯織 東光寺 三条 東三条 保内 加茂 羽生田 田上 矢代田 古津 新津,manual
信越線,信越線(新津〜新潟),62,新津 さつき野 荻川 亀田 越後石山 新潟,manual
北陸新幹線,,41,,auto_fail
吾妻線,吾妻線(渋川〜万座・鹿沢口),11,渋川 金島 祖母島 小野上 小野上温泉 市城 中之条 群馬原町 郷原 矢倉 岩島 川原湯温泉 長野原草津口 群馬大津 羽根尾 袋倉 万座・鹿沢口,auto_v2
吾妻線,吾妻線(万座・鹿沢口〜大前),4,万座・鹿沢口 大前,auto_v2
大洗鹿島線,大洗鹿島線(水戸〜大洗),36,水戸 東水戸 常澄 大洗,auto_v2
大洗鹿島線,大洗鹿島線(大洗〜鹿島サッカースタジアム),21,大洗 涸沼 鹿島旭 徳宿 新鉾田 北浦湖畔 大洋 鹿島灘 鹿島大野 長者ヶ浜潮騒はまなす公園前 荒野台 鹿島サッカースタジアム,auto_v2
宇都宮芳賀ライトレール線,,94,,auto_v1
常総線,常総線(下館〜水海道),33,下館 大田郷 黒子 騰波ノ江 大宝 下妻 宗道 玉村 石下 南石下 三妻 中妻 北水海道 水海道,auto_v2
常総線,常総線(水海道〜取手),80,水海道 小絹 新守谷 守谷 南守谷 戸頭 稲戸井 ゆめみ野 新取手 寺原 西取手 取手,auto_v2
日光線,,23,,auto_v1
東武佐野線,,31,,auto_v1
東武小泉線,,31,,manual
東武桐生線,,41,,auto_v1
東武鬼怒川線,東武鬼怒川線(新藤原〜鬼怒川温泉),25,新藤原 鬼怒川公園 鬼怒川温泉,auto_v2
東武鬼怒川線,東武鬼怒川線(鬼怒川温泉〜大桑),34,鬼怒川温泉 東武ワールドスクウェア 小佐越 新高徳 大桑,auto_v2
東武鬼怒川線,東武鬼怒川線(大桑〜下今市),19,大桑 大谷向 下今市,auto_v2
水戸線,水戸線(友部〜下館),25,友部 宍戸 笠間 稲田 福原 羽黒 岩瀬 大和 新治 下館,auto_v2
